POSTING DATE,TRANSACTION DATE,TAG/PLATE NUMBER,AGENCY,DESCRIPTION,ENTRY TIME,ENTRY PLAZA,ENTRY LANE,EXIT TIME,EXIT PLAZA,EXIT LANE,VEHICLE TYPE CODE,AMOUNT,PREPAID,PLAN/RATE,FARE TYPE,BALANCE
05/15/2024,05/15/2024,02214781093,GSP,TOLL,,-,-,14:53:05,RAS,14S,1,($2.09),Y,BUSINESS,N,$478.11
05/15/2024,05/15/2024,02214781100,NJTP,TOLL,09:14:48,7A ,04E,09:24:56,6  ,08X,1,($2.38),Y,BUSINESS,N,$480.20
05/15/2024,05/14/2024,N73RDS-NJ,GSP,TOLL,,-,-,20:18:20,TRV,11s,1,($1.05),Y,BUSINESS,N,$482.58
05/15/2024,05/14/2024,N73RDS-NJ,GSP,TOLL,,-,-,20:33:18,BAR,07s,1,($2.09),Y,BUSINESS,N,$483.63
05/15/2024,05/14/2024,H21SHK-NJ,GSP,TOLL,,-,-,19:58:52,TRV,11s,1,($1.05),Y,BUSINESS,N,$485.72
05/15/2024,05/14/2024,U51SUE-NJ,GSP,TOLL,,-,-,15:49:47,LWN,02n,1,($0.73),Y,BUSINESS,N,$486.77
05/15/2024,05/14/2024,U51SUE-NJ,PANYNJ,TOLL,,-,-,16:24:58,OBX,02,-,($15.38),Y,BUSINESS,N,$487.50
05/15/2024,05/14/2024,U51SUE-NJ,MTAB&T,TOLL,,-,-,17:19:39,MPB,005,-,($5.60),Y,BUSINESS,N,$502.88
05/15/2024,05/14/2024,U51SUE-NJ,MTAB&T,TOLL,,-,-,16:43:31,VNB,014,-,($11.19),Y,BUSINESS,N,$508.48
05/15/2024,05/14/2024,N73RDS-NJ,SJ,TOLL,,-,-,21:03:21,APL,61,2,($1.40),Y,BUSINESS,N,$519.67
05/15/2024,05/15/2024,02214781093,GSP,TOLL,,-,-,00:01:00,BER,11N,1,($2.09),Y,BUSINESS,N,$521.07
05/15/2024,05/14/2024,02214781093,GSP,TOLL,,-,-,23:43:19,UNI,15N,1,($2.09),Y,BUSINESS,N,$523.16
05/15/2024,05/13/2024,H21SHK-NJ,GSP,TOLL,,-,-,20:45:44,RAS,01s,1,($2.09),Y,BUSINESS,N,$525.25
05/15/2024,05/14/2024,02214781093,GSP,TOLL,,-,-,23:08:30,ASP,12N,1,($2.09),Y,BUSINESS,N,$527.34
05/15/2024,05/14/2024,02214781093,GSP,TOLL,,-,-,22:56:26,LWN,04N,1,($0.73),Y,BUSINESS,N,$529.43
05/15/2024,05/13/2024,U51SUE-NJ,GSP,TOLL,,-,-,16:01:23,RAS,14s,1,($2.09),Y,BUSINESS,N,$530.16
05/15/2024,05/13/2024,P47SKT-NJ,GSP,TOLL,,-,-,15:37:56,LWN,01n,1,($0.73),Y,BUSINESS,N,$532.25
05/14/2024,05/13/2024,U51SUE-NJ,GSP,TOLL,,-,-,16:32:22,LWS,02s,1,($0.73),Y,BUSINESS,N,$532.98
05/14/2024,05/13/2024,U51SUE-NJ,GSP,TOLL,,-,-,11:23:01,UNI,08n,1,($2.09),Y,BUSINESS,N,$533.71
05/14/2024,05/13/2024,P47SKT-NJ,GSP,TOLL,,-,-,19:22:38,LWS,01s,1,($0.73),Y,BUSINESS,N,$535.80
05/14/2024,05/13/2024,U51SUE-NJ,GSP,TOLL,,-,-,10:01:59,TRV,05n,1,($1.05),Y,BUSINESS,N,$536.53
05/14/2024,05/13/2024,H18SHK-NJ,GSP,TOLL,,-,-,07:37:55,BEN,04n,1,($0.73),Y,BUSINESS,N,$537.58
05/14/2024,05/14/2024,02214781093,GSP,TOLL,,-,-,15:35:29,LWN,02N,1,($0.73),Y,BUSINESS,N,$538.31
05/14/2024,05/12/2024,02214781100,MdTA,TOLL,,-,-,21:24:57,JFK,53,-,($8.00),Y,BUSINESS,N,$539.04
05/14/2024,05/13/2024,P46SKT-NJ,GSP,TOLL,,-,-,14:48:17,TRV,06n,1,($1.05),Y,BUSINESS,N,$547.04
05/14/2024,05/13/2024,H18SHK-NJ,GSP,TOLL,,-,-,07:36:00,BES,01s,1,($0.73),Y,BUSINESS,N,$548.09
05/14/2024,05/13/2024,02214781101,NYSTA,TOLL,,-,-,18:23:14,MCB,16S,2L,($10.94),Y,BUSINESS,N,$548.82
05/14/2024,05/14/2024,02214781101,GSP,TOLL,,-,-,08:54:39,LWS,01S,1,($0.73),Y,BUSINESS,N,$559.76
05/14/2024,05/14/2024,02214781101,GSP,TOLL,,-,-,08:24:26,RAS,14S,1,($2.09),Y,BUSINESS,N,$560.49
05/14/2024,05/14/2024,02214781101,GSP,TOLL,,-,-,07:32:33,PVK,06S,1,($2.09),Y,BUSINESS,N,$562.58
05/14/2024,05/14/2024,02214781101,GSP,TOLL,,-,-,07:48:38,ESS,08S,1,($2.09),Y,BUSINESS,N,$564.67
05/14/2024,05/13/2024,H16SHK-NJ,GSP,TOLL,,-,-,07:16:03,BAR,07s,1,($2.09),Y,BUSINESS,N,$566.76
05/14/2024,05/12/2024,02214781100,DelDOT,TOLL,,-,-,16:53:46,D95,41,-,($4.00),Y,BUSINESS,N,$568.85
05/14/2024,05/12/2024,02214781100,DelDOT,TOLL,,-,-,21:40:39,D95,40,-,($4.00),Y,BUSINESS,N,$572.85
05/14/2024,05/14/2024,-,NJ E-ZPass,Service Fee,,-,-,04:32:37,-,-,-,($1.00),Y,-,-,$576.85
05/13/2024,05/13/2024,02214781099,GSP,TOLL,,-,-,21:19:12,TRV,05N,1,($1.05),Y,BUSINESS,N,$577.85
05/13/2024,05/13/2024,02214781099,GSP,TOLL,,-,-,21:12:01,BKN,01N,1,($0.73),Y,BUSINESS,N,$578.90
05/13/2024,05/13/2024,02214781099,GSP,TOLL,,-,-,19:53:38,TRV,11S,1,($1.05),Y,BUSINESS,N,$579.63
05/13/2024,05/12/2024,P45SKT-NJ,GSP,TOLL,,-,-,11:33:52,TRV,05n,1,($1.05),Y,BUSINESS,N,$580.68
05/13/2024,05/13/2024,02214781088,GSP,TOLL,,-,-,18:32:26,RAS,13S,1,($2.09),Y,BUSINESS,N,$581.73
05/13/2024,05/13/2024,02214781088,GSP,TOLL,,-,-,19:02:14,LWS,01S,1,($0.73),Y,BUSINESS,N,$583.82
05/13/2024,05/13/2024,02214781101,GSP,TOLL,,-,-,18:02:46,BER,06N,1,($2.09),Y,BUSINESS,N,$584.55
05/13/2024,05/12/2024,U51SUE-NJ,GSP,TOLL,,-,-,17:25:58,RAS,15s,1,($2.09),Y,BUSINESS,N,$586.64
05/13/2024,05/12/2024,P45SKT-NJ,GSP,TOLL,,-,-,10:55:11,TRV,11s,1,($1.05),Y,BUSINESS,N,$588.73
05/13/2024,05/13/2024,02214781101,GSP,TOLL,,-,-,15:17:09,UNI,16N,1,($2.09),Y,BUSINESS,N,$589.78
05/13/2024,05/13/2024,02214781101,GSP,TOLL,,-,-,14:45:26,ASP,12N,1,($2.09),Y,BUSINESS,N,$591.87
05/13/2024,05/13/2024,02214781101,GSP,TOLL,,-,-,14:34:23,LWN,04N,1,($0.73),Y,BUSINESS,N,$593.96
05/13/2024,05/13/2024,02214781088,GSP,TOLL,,-,-,09:19:35,ASP,11N,1,($2.09),Y,BUSINESS,N,$594.69
05/13/2024,05/13/2024,02214781088,GSP,TOLL,,-,-,09:08:00,LWN,04N,1,($0.73),Y,BUSINESS,N,$596.78
05/13/2024,05/11/2024,H20SHK-NJ,GSP,TOLL,,-,-,12:28:16,TRV,11s,1,($1.05),Y,BUSINESS,N,$597.51
05/13/2024,05/12/2024,02214781100,NJTP,TOLL,22:47:48,1  ,18E,23:33:33,7A ,10X,1,($6.84),Y,BUSINESS,N,$598.56
05/13/2024,05/12/2024,02214781100,DRBA,TOLL,,-,-,16:28:14,DMB,02,1,($4.75),Y,BUSINESS,N,$605.40
05/13/2024,05/11/2024,P45SKT-NJ,GSP,TOLL,,-,-,16:45:52,TRV,05n,1,($1.05),Y,BUSINESS,N,$610.15
05/12/2024,05/11/2024,P45SKT-NJ,GSP,TOLL,,-,-,09:58:41,TRV,06n,1,($1.05),Y,BUSINESS,N,$611.20
