POSTING DATE,TRANSACTION DATE,TAG/PLATE NUMBER,AGENCY,DESCRIPTION,ENTRY TIME,ENTRY PLAZA,ENTRY LANE,EXIT TIME,EXIT PLAZA,EXIT LANE,VEHICLE TYPE CODE,AMOUNT,PREPAID,PLAN/RATE,FARE TYPE,BALANCE
07/14/2023,07/14/2023,02214781098,MTAB&T,TOLL,,-,-,10:28:05,QMT,002,-,($10.17),Y,BUSINESS,N,$1479.56
07/14/2023,07/14/2023,02214781103,NJTP,TOLL,09:21:36,14 ,07E,09:27:25,13 ,07X,1,($1.56),Y,BUSINESS,N,$1489.73
07/14/2023,07/14/2023,02214781101,GSP,TOLL,,-,-,06:13:39,LWN,04N,1,($0.70),Y,BUSINESS,N,$1491.29
07/14/2023,07/14/2023,02214781101,GSP,TOLL,,-,-,06:58:53,UNI,15N,1,($2.02),Y,BUSINESS,N,$1491.99
07/14/2023,07/14/2023,02214781101,GSP,TOLL,,-,-,06:25:13,ASP,07N,1,($2.02),Y,BUSINESS,N,$1494.01
07/14/2023,07/14/2023,02214781101,GSP,TOLL,,-,-,07:15:47,BER,06N,1,($2.02),Y,BUSINESS,N,$1496.03
07/14/2023,07/14/2023,02214781103,NJTP,TOLL,02:50:39,18W,000,02:58:23,14 ,16X,1,($3.91),Y,BUSINESS,N,$1498.05
07/14/2023,07/14/2023,-,NJ E-ZPass,Service Fee,,-,-,04:46:32,-,-,-,($1.00),Y,-,-,$1501.96
07/13/2023,07/13/2023,02214781098,MTAB&T,TOLL,,-,-,14:45:04,HCT,002,-,($10.17),Y,BUSINESS,N,$1502.96
07/13/2023,07/12/2023,02214781099,GSP,TOLL,,-,-,06:56:02,RAS,15S,1,($2.02),Y,BUSINESS,N,$1513.13
07/13/2023,07/12/2023,02214781099,GSP,TOLL,,-,-,05:38:46,ASP,12N,1,($2.02),Y,BUSINESS,N,$1515.15
07/13/2023,07/12/2023,02214781099,GSP,TOLL,,-,-,05:28:14,LWN,01N,1,($0.70),Y,BUSINESS,N,$1517.17
07/13/2023,07/12/2023,02214781099,GSP,TOLL,,-,-,07:15:14,BES,04S,1,($0.70),Y,BUSINESS,N,$1517.87
07/13/2023,07/11/2023,02214781100,GSP,TOLL,,-,-,13:39:08,ASP,11N,1,($2.02),Y,BUSINESS,N,$1518.57
07/13/2023,07/12/2023,02214781098,MTAB&T,TOLL,,-,-,18:23:55,HCT,002,-,($10.17),Y,BUSINESS,N,$1520.59
07/12/2023,07/12/2023,02214781098,MTAB&T,TOLL,,-,-,07:20:41,QMT,002,-,($10.17),Y,BUSINESS,N,$1530.76
07/12/2023,07/12/2023,02214781099,NJTP,TOLL,06:42:55,13A,09E,06:52:43,11 ,14X,1,($1.80),Y,BUSINESS,N,$1540.93
07/12/2023,07/12/2023,02214781099,NJTP,TOLL,06:20:36,11 ,04E,06:30:38,13A,13X,1,($1.80),Y,BUSINESS,N,$1542.73
07/11/2023,07/11/2023,02214781096,MTAB&T,TOLL,,-,-,15:13:33,BWB,005,-,($10.17),Y,BUSINESS,N,$1544.53
07/11/2023,07/11/2023,02214781096,MTAB&T,TOLL,,-,-,13:14:38,BWB,002,-,($10.17),Y,BUSINESS,N,$1554.70
07/11/2023,07/11/2023,02214781103,MTAB&T,TOLL,,-,-,11:17:07,QMT,014,-,($10.17),Y,BUSINESS,N,$1564.87
07/11/2023,07/11/2023,02214781098,MTAB&T,TOLL,,-,-,07:51:34,QMT,002,-,($10.17),Y,BUSINESS,N,$1575.04
07/11/2023,07/11/2023,02214781096,MTAB&T,TOLL,,-,-,01:25:59,BWB,006,-,($10.17),Y,BUSINESS,N,$1585.21
