POSTING DATE,TRANSACTION DATE,TAG/PLATE NUMBER,AGENCY,DESCRIPTION,ENTRY TIME,ENTRY PLAZA,ENTRY LANE,EXIT TIME,EXIT PLAZA,EXIT LANE,VEHICLE TYPE CODE,AMOUNT,PREPAID,PLAN/RATE,FARE TYPE,BALANCE
09/11/2023,09/11/2023,02214781096,PANYNJ,TOLL,,-,-,09:09:56,GB ,02,-,($14.75),Y,BUSINESS,N,$775.20
09/11/2023,09/11/2023,02214781096,MTAB&T,TOLL,,-,-,09:25:19,VNB,021,-,($11.19),Y,BUSINESS,N,$789.95
09/11/2023,09/11/2023,02214781096,NJTP,TOLL,08:51:00,9  ,05E,09:07:41,13 ,11X,1,($4.20),Y,BUSINESS,N,$829.10
09/11/2023,09/11/2023,02212261422,GSP,TOLL,,-,-,07:24:04,BRS,01S,1,($0.70),Y,BUSINESS,N,$872.45
09/11/2023,09/10/2023,H21SHK-NJ,PANYNJ,TOLL,,-,-,16:45:08,OBX,02,-,($14.75),Y,BUSINESS,N,$833.30
09/11/2023,09/10/2023,H21SHK-NJ,MTAB&T,TOLL,,-,-,23:36:42,VNB,003,-,($11.19),Y,BUSINESS,N,$850.07
09/11/2023,09/10/2023,H21SHK-NJ,MTAB&T,TOLL,,-,-,17:20:00,VNB,014,-,($11.19),Y,BUSINESS,N,$861.26
09/10/2023,09/10/2023,02212261422,GSP,TOLL,,-,-,18:16:45,LWN,01N,1,($0.70),Y,BUSINESS,N,$877.35
09/10/2023,09/10/2023,02214781088,GSP,TOLL,,-,-,14:38:13,LWS,01S,1,($0.70),Y,BUSINESS,N,$878.05
09/10/2023,09/10/2023,02214781088,GSP,TOLL,,-,-,13:47:02,LWS,04S,1,($0.70),Y,BUSINESS,N,$878.75
09/10/2023,09/10/2023,02212261422,GSP,TOLL,,-,-,08:13:51,BRS,01S,1,($0.70),Y,BUSINESS,N,$879.45
09/10/2023,09/10/2023,02214781094,GSP,TOLL,,-,-,01:42:13,RAS,13S,1,($2.02),Y,BUSINESS,N,$880.15
09/10/2023,09/10/2023,02214781094,GSP,TOLL,,-,-,01:19:37,ESS,05S,1,($2.02),Y,BUSINESS,N,$882.17
09/10/2023,09/10/2023,02214781094,GSP,TOLL,,-,-,01:05:31,PVK,07S,1,($2.02),Y,BUSINESS,N,$884.19
09/11/2023,09/09/2023,02214781096,NJTP,TOLL,,-,-,01:12:10,9  ,15X,1,($4.20),Y,BUSINESS,M,$873.15
09/09/2023,09/09/2023,02214781098,PANYNJ,TOLL,,-,-,07:45:20,LT ,10,-,($12.75),Y,BUSINESS,N,$888.23
09/09/2023,09/09/2023,02214781098,MTAB&T,TOLL,,-,-,07:58:27,QMT,015,-,($11.19),Y,BUSINESS,N,$900.98
09/09/2023,09/09/2023,02212261422,GSP,TOLL,,-,-,08:38:28,ASP,11N,1,($2.02),Y,BUSINESS,N,$912.17
09/09/2023,09/08/2023,G53RRF-NJ,GSP,TOLL,,-,-,01:05:28,RAS,11s,1,($2.02),Y,BUSINESS,N,$886.21
09/09/2023,09/08/2023,H16SHK-NJ,PANYNJ,TOLL,,-,-,14:43:22,LT ,10,-,($12.75),Y,BUSINESS,N,$914.19
