POSTING DATE,TRANSACTION DATE,TAG/PLATE NUMBER,AGENCY,DESCRIPTION,ENTRY TIME,ENTRY PLAZA,ENTRY LANE,EXIT TIME,EXIT PLAZA,EXIT LANE,VEHICLE TYPE CODE,AMOUNT,PREPAID,PLAN/RATE,FARE TYPE,BALANCE
08/08/2023,08/08/2023,02214781100,GSP,TOLL,,-,-,15:21:36,ASP,12N,1,($2.02),Y,BUSINESS,N,$1608.78
08/08/2023,08/08/2023,02214781100,GSP,TOLL,,-,-,15:10:56,LWN,04N,1,($0.70),Y,BUSINESS,N,$1610.80
08/08/2023,08/07/2023,02214781096,MTAB&T,TOLL,,-,-,00:44:52,VNB,007,-,($11.19),Y,BUSINESS,N,$1611.50
08/08/2023,08/06/2023,02214781096,MTAB&T,TOLL,,-,-,19:22:54,VNB,022,-,($11.19),Y,BUSINESS,N,$1622.69
08/08/2023,08/06/2023,02214781096,MTAB&T,TOLL,,-,-,01:43:03,VNB,008,-,($11.19),Y,BUSINESS,N,$1633.88
08/08/2023,08/06/2023,02212261422,PTC,TOLL,,-,-,08:32:40,DRB,02,-,($6.90),Y,BUSINESS,N,$1645.07
08/08/2023,08/07/2023,02214781099,GSP,TOLL,,-,-,23:37:45,BRS,01S,1,($0.70),Y,BUSINESS,N,$1651.97
08/08/2023,08/07/2023,02214781099,GSP,TOLL,,-,-,23:10:14,RAS,14S,1,($2.02),Y,BUSINESS,N,$1652.67
08/07/2023,08/07/2023,02214781099,GSP,TOLL,,-,-,21:19:33,ASP,12N,1,($2.02),Y,BUSINESS,N,$1654.69
08/07/2023,08/07/2023,02214781099,GSP,TOLL,,-,-,21:10:12,BRN,04N,1,($0.70),Y,BUSINESS,N,$1656.71
08/07/2023,08/07/2023,02214781096,GSP,TOLL,,-,-,16:16:56,IRS,01S,1,($0.70),Y,BUSINESS,N,$1657.41
08/07/2023,08/07/2023,02214781096,NJTP,TOLL,13:17:16,9  ,05E,13:25:11,11 ,24X,1,($0.96),Y,BUSINESS,N,$1658.11
08/07/2023,08/07/2023,02214781096,GSP,TOLL,,-,-,13:39:39,UNI,15N,1,($2.02),Y,BUSINESS,N,$1659.07
08/07/2023,08/07/2023,02214781096,GSP,TOLL,,-,-,13:42:37,IRN,01N,1,($0.70),Y,BUSINESS,N,$1661.09
08/07/2023,08/06/2023,02214781096,PANYNJ,TOLL,,-,-,19:04:53,OBX,04,-,($14.75),Y,BUSINESS,N,$1661.79
08/07/2023,08/07/2023,02214781096,NJTP,TOLL,00:54:24,13 ,19E,01:09:19,9  ,13X,1,($3.15),Y,BUSINESS,N,$1676.54
08/07/2023,08/06/2023,02214781095,DRPA,TOLL,00:00:00,-,-,10:48:48,BFB,06W,2,($5.00),Y,BUSINESS,N,$1679.69
08/07/2023,08/06/2023,02214781099,GSP,TOLL,,-,-,22:08:25,LWS,01S,1,($0.70),Y,BUSINESS,N,$1684.69
