POSTING DATE,TRANSACTION DATE,TAG/PLATE NUMBER,AGENCY,DESCRIPTION,ENTRY TIME,ENTRY PLAZA,ENTRY LANE,EXIT TIME,EXIT PLAZA,EXIT LANE,VEHICLE TYPE CODE,AMOUNT,PREPAID,PLAN/RATE,FARE TYPE,BALANCE
08/17/2023,08/11/2023,02214781096,MTAB&T,TOLL,,-,-,22:09:55,VNB,020,-,($11.19),Y,BUSINESS,N,$1076.78
08/17/2023,08/17/2023,02214781097,NJTP,TOLL,01:54:05,16E,22E,02:16:24,11 ,14X,1,($5.57),Y,BUSINESS,N,$1087.97
08/17/2023,08/15/2023,02214781099,DelDOT,TOLL,,-,-,19:20:49,D95,41,-,($4.00),Y,BUSINESS,N,$1093.54
08/17/2023,08/17/2023,02214781098,NJTP,TOLL,00:53:41,9  ,05E,01:20:05,16E,02X,1,($7.05),Y,BUSINESS,N,$1097.54
08/17/2023,08/17/2023,02214781097,GSP,TOLL,,-,-,02:20:29,RAS,13S,1,($2.02),Y,BUSINESS,N,$1104.59
08/17/2023,08/17/2023,02214781097,NJTP,TOLL,,-,-,01:22:56,17,03S,1,($2.99),Y,BUSINESS,N,$1106.61
08/17/2023,08/17/2023,02214781097,GSP,TOLL,,-,-,03:04:49,BRS,02S,1,($0.70),Y,BUSINESS,N,$1109.60
08/17/2023,08/17/2023,02214781091,GSP,TOLL,,-,-,01:04:29,RAS,14S,1,($2.02),Y,BUSINESS,N,$1110.30
08/17/2023,08/17/2023,02214781092,GSP,TOLL,,-,-,00:53:42,BES,01S,1,($0.70),Y,BUSINESS,N,$1112.32
08/17/2023,08/17/2023,02214781091,GSP,TOLL,,-,-,01:37:38,LWS,04S,1,($0.70),Y,BUSINESS,N,$1113.02
08/17/2023,08/17/2023,02214781091,GSP,TOLL,,-,-,00:24:52,PVK,07S,1,($2.02),Y,BUSINESS,N,$1113.72
08/17/2023,08/17/2023,02214781091,GSP,TOLL,,-,-,00:40:10,ESS,09S,1,($2.02),Y,BUSINESS,N,$1115.74
