POSTING DATE,TRANSACTION DATE,TAG/PLATE NUMBER,AGENCY,DESCRIPTION,ENTRY TIME,ENTRY PLAZA,ENTRY LANE,EXIT TIME,EXIT PLAZA,EXIT LANE,VEHICLE TYPE CODE,AMOUNT,PREPAID,PLAN/RATE,FARE TYPE,BALANCE
10/17/2023,10/15/2023,02214781094,NYSTA,TOLL,,-,-,17:55:32,HA,03N,2L,($1.37),Y,BUSINESS,N,$48.84
10/17/2023,10/09/2023,02216380333,NYSTA,TOLL,18:48:22,45 ,99E,18:48:22,44 ,03E,2L,($0.20),Y,BUSINESS,N,$50.21
10/17/2023,10/17/2023,02214781087,GSP,TOLL,,-,-,10:50:28,LWN,01N,1,($0.70),Y,BUSINESS,N,$50.41
10/17/2023,10/17/2023,H16SHK-NJ,MTAB&T,TOLL,,-,-,00:16:43,VNB,004,-,($11.19),Y,BUSINESS,N,$51.11
10/17/2023,10/15/2023,02214781094,NYSTA,TOLL,20:26:26,19 ,03E,21:03:54,15 ,03S,2L,($3.13),Y,BUSINESS,N,$62.30
10/17/2023,10/15/2023,02214781094,NYSTA,TOLL,20:12:26,18 ,03E,20:25:36,19 ,02X,2L,($0.79),Y,BUSINESS,N,$65.43
10/17/2023,10/15/2023,H20SHK-NJ,NJTP,TOLL,,-,-,17:28:56,11 ,15w,1,($6.64),Y,BUSINESS,M,$66.22
10/17/2023,10/15/2023,N73RDS-NJ,NJTP,TOLL,21:42:41,-,-,21:42:41,17,05s,1,($3.99),Y,BUSINESS,N,$72.86
10/17/2023,09/22/2023,H16SHK-NJ,GSP,TOLL,,-,-,19:39:01,TRV,10s,1,($1.01),Y,BUSINESS,N,$76.85
10/17/2023,10/15/2023,H20SHK-NJ,NJTP,TOLL,,-,-,14:12:15,16W,07w,1,($5.21),Y,BUSINESS,M,$77.86
10/17/2023,10/16/2023,02214781100,GSP,TOLL,,-,-,02:46:45,TRV,11s,1,($1.01),Y,BUSINESS,N,$83.07
10/17/2023,10/16/2023,02214781100,GSP,TOLL,,-,-,20:14:47,TRV,11s,1,($1.01),Y,BUSINESS,N,$84.08
10/17/2023,10/16/2023,02214781087,GSP,TOLL,,-,-,19:20:07,BRS,04s,1,($0.70),Y,BUSINESS,N,$85.09
10/17/2023,10/16/2023,02214781087,GSP,TOLL,,-,-,18:45:35,RAS,14s,1,($2.02),Y,BUSINESS,N,$85.79
10/17/2023,10/16/2023,02214781087,GSP,TOLL,,-,-,18:20:28,BLS,01s,1,($0.70),Y,BUSINESS,N,$87.81
10/17/2023,10/16/2023,02214781087,GSP,TOLL,,-,-,14:41:27,SAB,02n,1,($2.02),Y,BUSINESS,N,$88.51
10/17/2023,10/16/2023,02214781087,GSP,TOLL,,-,-,14:23:28,UNI,16n,1,($2.02),Y,BUSINESS,N,$90.53
10/17/2023,10/16/2023,02214781087,GSP,TOLL,,-,-,13:45:06,BRN,04n,1,($0.70),Y,BUSINESS,N,$92.55
10/17/2023,10/16/2023,02214781087,GSP,TOLL,,-,-,13:54:05,ASP,12n,1,($2.02),Y,BUSINESS,N,$93.25
10/16/2023,10/16/2023,02214781100,GSP,TOLL,,-,-,21:11:58,TRV,05N,1,($1.01),Y,BUSINESS,N,$95.27
10/16/2023,10/15/2023,X18NMX-NJ,GSP,TOLL,,-,-,17:44:23,BES,01s,1,($0.70),Y,BUSINESS,N,$96.28
10/16/2023,10/15/2023,N73RDS-NJ,GSP,TOLL,,-,-,17:11:25,UNI,16n,1,($2.02),Y,BUSINESS,N,$96.98
10/16/2023,10/16/2023,-,NJ E-ZPass,Prepaid Payment,,-,-,17:08:53,-,-,-,$100.00,Y,-,-,$99.00
10/14/2023,10/14/2023,-,NJ E-ZPass,Service Fee,,-,-,05:25:43,-,-,-,($1.00),Y,-,-,($1.00)
10/04/2023,10/04/2023,-,NJ E-ZPass,Prepaid Payment,,-,-,11:48:27,-,-,-,$47.66,Y,-,-,$0.00
