POSTING DATE,TRANSACTION DATE,TAG/PLATE NUMBER,AGENCY,DESCRIPTION,ENTRY TIME,ENTRY PLAZA,ENTRY LANE,EXIT TIME,EXIT PLAZA,EXIT LANE,VEHICLE TYPE CODE,AMOUNT,PREPAID,PLAN/RATE,FARE TYPE,BALANCE
09/01/2023,08/06/2023,Z378141-NJ,NJTP,TOLL,18:46:05,-,-,18:46:05,19W,04n,1,($2.08),Y,BUSINESS,N,$1641.94
09/01/2023,09/01/2023,02214781094,GSP,TOLL,,-,-,04:45:52,BRS,02S,1,($0.70),Y,BUSINESS,N,$1644.02
09/01/2023,08/31/2023,02214781095,NJTP,TOLL,21:32:34,6  ,09E,21:44:15,7A ,12X,1,($2.31),Y,BUSINESS,N,$1644.72
08/31/2023,08/31/2023,02212261422,NJTP,TOLL,20:38:12,11 ,05E,20:48:23,13 ,10X,1,($1.80),Y,BUSINESS,N,$1647.03
08/31/2023,08/31/2023,02214781101,GSP,TOLL,,-,-,19:27:31,TRV,06N,1,($1.01),Y,BUSINESS,N,$1648.83
08/31/2023,08/31/2023,02212261422,GSP,TOLL,,-,-,20:05:31,ASP,12N,1,($2.02),Y,BUSINESS,N,$1649.84
08/31/2023,08/31/2023,02212261422,GSP,TOLL,,-,-,19:55:11,BRN,04N,1,($0.70),Y,BUSINESS,N,$1651.86
08/31/2023,08/06/2023,Z378141-NJ,NJTP,TOLL,11:59:10,-,-,11:59:10,19W,03n,1,($2.08),Y,BUSINESS,N,$1652.56
08/31/2023,08/06/2023,Z378141-NJ,NJTP,TOLL,,-,-,11:34:05,16W,11w,1,($5.21),Y,BUSINESS,M,$1654.64
08/31/2023,08/29/2023,K13SFN-NJ,PANYNJ,TOLL,,-,-,16:13:27,OBX,08,-,($14.75),Y,BUSINESS,N,$1659.85
08/31/2023,08/27/2023,A16NUB-NJ,PANYNJ,TOLL,,-,-,14:34:12,OBX,02,-,($14.75),Y,BUSINESS,N,$1674.60
08/31/2023,08/27/2023,P47SKT-NJ,PANYNJ,TOLL,,-,-,17:34:50,OBX,04,-,($14.75),Y,BUSINESS,N,$1689.35
08/31/2023,08/31/2023,02214781094,GSP,TOLL,,-,-,14:08:45,BRN,01N,1,($0.70),Y,BUSINESS,N,$1704.10
08/31/2023,08/31/2023,02214781094,GSP,TOLL,,-,-,14:18:11,ASP,10N,1,($2.02),Y,BUSINESS,N,$1704.80
08/31/2023,08/24/2023,G36RMC-NJ,MTAB&T,TOLL,,-,-,16:36:30,CBB,001,-,($5.60),Y,BUSINESS,N,$1706.82
08/31/2023,08/31/2023,02214781095,NJTP,TOLL,07:30:19,7A ,000,07:40:18,6  ,08X,1,($3.08),Y,BUSINESS,N,$1712.42
08/31/2023,08/24/2023,B52RCN-NJ,MTAB&T,TOLL,,-,-,13:54:19,QMT,016,-,($11.19),Y,BUSINESS,N,$1715.50
08/31/2023,08/31/2023,02214781094,GSP,TOLL,,-,-,04:41:55,BRS,02S,1,($0.70),Y,BUSINESS,N,$1726.69
08/31/2023,08/28/2023,02214781095,DelDOT,TOLL,,-,-,08:41:01,D95,40,-,($4.00),Y,BUSINESS,N,$1727.39
08/31/2023,08/29/2023,02214781101,PTC,TOLL,,-,-,16:25:31,DRB,02,-,($6.90),Y,BUSINESS,N,$1731.39
08/30/2023,08/30/2023,02214781101,GSP,TOLL,,-,-,19:44:11,NGR,07N,1,($2.02),Y,BUSINESS,N,$1738.29
08/30/2023,08/30/2023,02214781101,GSP,TOLL,,-,-,19:15:42,CMY,07N,1,($2.02),Y,BUSINESS,N,$1740.31
08/30/2023,08/30/2023,02214781101,GSP,TOLL,,-,-,17:06:16,BAR,08S,1,($2.02),Y,BUSINESS,N,$1742.33
08/30/2023,08/30/2023,02214781101,GSP,TOLL,,-,-,17:35:40,GEG,05S,1,($2.02),Y,BUSINESS,N,$1744.35
08/30/2023,08/30/2023,02214781094,GSP,TOLL,,-,-,14:08:01,ASP,10N,1,($2.02),Y,BUSINESS,N,$1746.37
08/30/2023,08/30/2023,02214781094,GSP,TOLL,,-,-,14:30:28,RAS,01S,1,($2.02),Y,BUSINESS,N,$1748.39
08/30/2023,08/29/2023,02214781096,MTAB&T,TOLL,,-,-,23:08:02,TNB,007,-,($11.19),Y,BUSINESS,N,$1750.41
08/30/2023,08/29/2023,02214781096,MTAB&T,TOLL,,-,-,22:52:50,TNB,001,-,($11.19),Y,BUSINESS,N,$1761.60
08/30/2023,08/29/2023,02214781091,MTAB&T,TOLL,,-,-,16:31:46,VNB,021,-,($11.19),Y,BUSINESS,N,$1772.79
08/30/2023,08/30/2023,02214781094,GSP,TOLL,,-,-,04:51:41,BRS,02S,1,($0.70),Y,BUSINESS,N,$1783.98
08/30/2023,08/30/2023,02214781091,GSP,TOLL,,-,-,00:10:19,RAS,08S,1,($2.02),Y,BUSINESS,N,$1784.68
08/29/2023,08/29/2023,02214781101,NJTP,TOLL,19:11:44,6  ,09E,19:32:53,7A ,10X,1,($2.31),Y,BUSINESS,N,$1786.70
08/29/2023,08/29/2023,02212261422,GSP,TOLL,,-,-,21:07:32,LWS,01S,1,($0.70),Y,BUSINESS,N,$1789.01
08/29/2023,08/29/2023,02212261422,GSP,TOLL,,-,-,20:39:54,RAS,15S,1,($2.02),Y,BUSINESS,N,$1789.71
08/29/2023,08/29/2023,02212261422,NJTP,TOLL,18:44:27,18W,09E,18:46:12,16W,10X,1,($1.56),Y,BUSINESS,N,$1791.73
08/29/2023,08/29/2023,02214781101,NJTP,TOLL,16:11:57,7A ,000,16:22:05,6  ,08X,1,($2.31),Y,BUSINESS,N,$1793.29
08/29/2023,08/03/2023,G53RRF-NJ,GSP,TOLL,,-,-,14:20:59,NGR,07n,1,($2.02),Y,BUSINESS,N,$1795.60
08/29/2023,08/29/2023,02214781095,NJTP,TOLL,15:01:18,13A,02E,15:12:32,11 ,14X,1,($1.80),Y,BUSINESS,N,$1797.62
08/29/2023,08/29/2023,02214781095,NJTP,TOLL,13:55:45,16E,21E,14:06:50,13A,20X,1,($3.91),Y,BUSINESS,N,$1799.42
08/29/2023,08/29/2023,02214781091,GSP,TOLL,,-,-,15:46:52,ASP,02N,1,($2.02),Y,BUSINESS,N,$1803.33
08/29/2023,08/29/2023,02214781095,GSP,TOLL,,-,-,15:16:58,RAS,12S,1,($2.02),Y,BUSINESS,N,$1805.35
08/29/2023,08/29/2023,02214781094,GSP,TOLL,,-,-,14:16:21,ASP,10N,1,($2.02),Y,BUSINESS,N,$1807.37
08/29/2023,08/29/2023,02214781095,GSP,TOLL,,-,-,15:53:57,BES,04S,1,($0.70),Y,BUSINESS,N,$1809.39
08/29/2023,08/29/2023,02214781096,PANYNJ,TOLL,,-,-,07:52:18,GB ,02,-,($14.75),Y,BUSINESS,N,$1810.09
08/29/2023,08/29/2023,02212261422,GSP,TOLL,,-,-,13:23:56,BEN,03N,1,($0.70),Y,BUSINESS,N,$1824.84
08/29/2023,08/29/2023,02214781094,GSP,TOLL,,-,-,11:59:55,LWS,04S,1,($0.70),Y,BUSINESS,N,$1825.54
08/29/2023,08/29/2023,02212261422,GSP,TOLL,,-,-,13:57:21,UNI,10N,1,($2.02),Y,BUSINESS,N,$1826.24
08/29/2023,08/29/2023,02214781096,MTAB&T,TOLL,,-,-,08:00:11,VNB,015,-,($11.19),Y,BUSINESS,N,$1828.26
08/29/2023,08/29/2023,02212261422,GSP,TOLL,,-,-,13:27:43,ASP,12N,1,($2.02),Y,BUSINESS,N,$1839.45
08/29/2023,08/29/2023,02214781096,NJTP,TOLL,07:36:08,9  ,04E,07:50:14,13 ,11X,1,($4.20),Y,BUSINESS,N,$1841.47
08/29/2023,08/28/2023,02214781095,PANYNJ,TOLL,,-,-,23:05:54,LT ,10,-,($12.75),Y,BUSINESS,N,$1845.67
08/29/2023,08/28/2023,H25NDU-NJ,PANYNJ,TOLL,,-,-,16:44:52,HT ,04,-,($14.75),Y,BUSINESS,N,$1858.42
08/29/2023,08/28/2023,02214781096,MTAB&T,TOLL,,-,-,20:51:25,VNB,007,-,($11.19),Y,BUSINESS,N,$1873.17
08/29/2023,08/29/2023,02214781094,GSP,TOLL,,-,-,04:53:59,BRS,04S,1,($0.70),Y,BUSINESS,N,$1884.36
08/29/2023,08/29/2023,02214781094,GSP,TOLL,,-,-,04:24:03,RAS,13S,1,($2.02),Y,BUSINESS,N,$1885.06
08/29/2023,08/27/2023,02214781095,DelDOT,TOLL,,-,-,07:06:28,D95,41,-,($4.00),Y,BUSINESS,N,$1887.08
08/29/2023,08/28/2023,02214781096,NJTP,TOLL,21:00:55,13 ,13E,21:16:10,9  ,12X,1,($3.15),Y,BUSINESS,N,$1891.08
08/29/2023,08/27/2023,02214781097,NYNJArpt,EPS,17:07:39,EWM,909,00:31:06,EWM,962,-,$140.00,Y,STANDARD,N,$1966.71
08/28/2023,08/28/2023,02214781095,NJTP,TOLL,16:17:16,11 ,04E,16:37:17,14C,06X,1,($5.90),Y,BUSINESS,N,$1894.23
