POSTING DATE,TRANSACTION DATE,TAG/PLATE NUMBER,AGENCY,DESCRIPTION,ENTRY TIME,ENTRY PLAZA,ENTRY LANE,EXIT TIME,EXIT PLAZA,EXIT LANE,VEHICLE TYPE CODE,AMOUNT,PREPAID,PLAN/RATE,FARE TYPE,BALANCE
05/20/2024,05/16/2024,X18NMX-NJ,NJTP,TOLL,,-,-,09:40:02,7A ,10w,1,($2.76),Y,BUSINESS,M,$1232.13
05/20/2024,05/19/2024,P45SKT-NJ,GSP,TOLL,,-,-,18:57:22,TRV,07n,1,($1.05),Y,BUSINESS,N,$1234.89
05/20/2024,05/20/2024,02214781093,NJTP,TOLL,09:51:33,6  ,09E,10:02:46,7A ,10X,1,($2.38),Y,BUSINESS,N,$1235.94
05/20/2024,05/20/2024,-,NJ E-ZPass,Prepaid Payment,,-,-,03:17:30,-,-,-,$1000.00,Y,-,-,$1238.32
05/20/2024,05/19/2024,02214781088,VDOT,TOLL,,-,-,18:02:40,PNO,91,-,($1.00),Y,BUSINESS,N,$238.32
05/20/2024,05/19/2024,02214781088,NJTP,TOLL,21:16:58,1  ,17E,22:08:37,8  ,05X,1,($7.66),Y,BUSINESS,N,$239.32
05/20/2024,05/17/2024,02214781088,NJTP,TOLL,,-,-,15:15:13,1  ,15X,1,($8.09),Y,BUSINESS,M,$246.98
05/20/2024,05/19/2024,02214781101,GSP,TOLL,,-,-,23:11:27,LWS,04S,1,($0.73),Y,BUSINESS,N,$255.07
05/20/2024,05/19/2024,02214781101,GSP,TOLL,,-,-,22:41:14,RAS,14S,1,($2.09),Y,BUSINESS,N,$255.80
05/19/2024,05/19/2024,02214781101,GSP,TOLL,,-,-,22:16:54,ESS,11S,1,($2.09),Y,BUSINESS,N,$257.89
05/19/2024,05/19/2024,02214781099,GSP,TOLL,,-,-,22:03:41,TRV,05N,1,($1.05),Y,BUSINESS,N,$259.98
05/19/2024,05/19/2024,02214781101,GSP,TOLL,,-,-,21:47:10,PVK,06S,1,($2.09),Y,BUSINESS,N,$261.03
05/19/2024,05/18/2024,J49PCA-NJ,GSP,TOLL,,-,-,17:53:29,RAS,11s,1,($2.09),Y,BUSINESS,N,$263.12
05/19/2024,05/18/2024,P45SKT-NJ,GSP,TOLL,,-,-,13:32:56,BKN,01n,1,($0.73),Y,BUSINESS,N,$265.21
05/19/2024,05/19/2024,02214781099,GSP,TOLL,,-,-,20:36:52,TRV,11S,1,($1.05),Y,BUSINESS,N,$265.94
05/19/2024,05/18/2024,P45SKT-NJ,GSP,TOLL,,-,-,13:39:09,TRV,06n,1,($1.05),Y,BUSINESS,N,$266.99
05/19/2024,05/17/2024,02214781088,MdTA,TOLL,,-,-,17:15:41,BHT,008,-,($4.00),Y,BUSINESS,N,$268.04
05/19/2024,05/19/2024,02214781101,GSP,TOLL,,-,-,08:32:10,UNI,16N,1,($2.09),Y,BUSINESS,N,$272.04
05/19/2024,05/19/2024,02214781101,GSP,TOLL,,-,-,08:00:38,ASP,12N,1,($2.09),Y,BUSINESS,N,$274.13
05/19/2024,05/19/2024,02214781101,GSP,TOLL,,-,-,09:05:32,BER,06N,1,($2.09),Y,BUSINESS,N,$276.22
05/19/2024,05/19/2024,02214781101,GSP,TOLL,,-,-,07:49:33,LWN,01N,1,($0.73),Y,BUSINESS,N,$278.31
05/19/2024,05/17/2024,02214781088,DelDOT,TOLL,,-,-,15:40:54,D95,41,-,($4.00),Y,BUSINESS,N,$279.04
05/18/2024,05/18/2024,02214781101,GSP,TOLL,,-,-,20:57:16,RAS,14S,1,($2.09),Y,BUSINESS,N,$283.04
05/18/2024,05/18/2024,02214781101,GSP,TOLL,,-,-,20:31:34,ESS,05S,1,($2.09),Y,BUSINESS,N,$285.13
05/18/2024,05/18/2024,02214781101,GSP,TOLL,,-,-,21:29:20,LWS,04S,1,($0.73),Y,BUSINESS,N,$287.22
05/18/2024,05/17/2024,S83RRJ-NJ,NJTP,TOLL,,-,-,17:15:17,11 ,13w,1,($6.84),Y,BUSINESS,M,$287.95
05/18/2024,05/17/2024,S83RRJ-NJ,NJTP,TOLL,,-,-,16:33:20,13 ,04w,1,($4.33),Y,BUSINESS,M,$294.79
05/18/2024,05/18/2024,02214781099,GSP,TOLL,,-,-,18:21:01,TRV,11S,1,($1.05),Y,BUSINESS,N,$299.12
05/18/2024,05/18/2024,02214781101,GSP,TOLL,,-,-,13:11:06,UNI,16N,1,($2.09),Y,BUSINESS,N,$300.17
05/18/2024,05/18/2024,02214781101,GSP,TOLL,,-,-,12:25:29,LWN,04N,1,($0.73),Y,BUSINESS,N,$302.26
05/18/2024,05/18/2024,02214781101,GSP,TOLL,,-,-,12:37:17,ASP,11N,1,($2.09),Y,BUSINESS,N,$302.99
05/18/2024,05/17/2024,S83RRJ-NJ,GSP,TOLL,,-,-,17:20:04,RAS,14s,1,($2.09),Y,BUSINESS,N,$305.08
05/18/2024,05/17/2024,S83RRJ-NJ,GSP,TOLL,,-,-,17:47:43,BES,04s,1,($0.73),Y,BUSINESS,N,$307.17
05/18/2024,05/17/2024,P45SKT-NJ,GSP,TOLL,,-,-,16:05:39,TRV,07n,1,($1.05),Y,BUSINESS,N,$307.90
05/18/2024,05/17/2024,S83RRJ-NJ,GSP,TOLL,,-,-,15:16:48,BEN,03n,1,($0.73),Y,BUSINESS,N,$308.95
05/18/2024,05/17/2024,S83RRJ-NJ,GSP,TOLL,,-,-,15:21:25,ASP,10n,1,($2.09),Y,BUSINESS,N,$309.68
05/18/2024,05/08/2024,J33SBT-NJ,DelDOT,TOLL,,-,-,01:36:27,D95,40,-,($4.00),Y,BUSINESS,N,$311.77
05/18/2024,05/06/2024,J33SBT-NJ,DelDOT,TOLL,,-,-,19:20:41,D95,41,-,($4.00),Y,BUSINESS,N,$315.77
05/17/2024,05/17/2024,02214781088,DRBA,TOLL,,-,-,15:20:33,DMB,01,1,($4.75),Y,BUSINESS,N,$319.77
05/17/2024,05/16/2024,H18SHK-NJ,DRBA,TOLL,,-,-,14:23:54,DMB,06,1,($4.75),Y,BUSINESS,N,$324.52
05/17/2024,05/16/2024,H18SHK-NJ,GSP,TOLL,,-,-,12:44:17,TRV,06n,1,($1.05),Y,BUSINESS,N,$329.27
05/17/2024,05/16/2024,H18SHK-NJ,NJTP,TOLL,,-,-,14:17:50,1  ,15w,1,($8.09),Y,BUSINESS,M,$330.32
05/17/2024,05/16/2024,X18NMX-NJ,GSP,TOLL,,-,-,19:08:09,LWN,04n,1,($0.73),Y,BUSINESS,N,$338.41
05/17/2024,05/17/2024,02214781099,GSP,TOLL,,-,-,12:51:57,TRV,06N,1,($1.05),Y,BUSINESS,N,$339.14
